loss,grad_norm,learning_rate,epoch,step
11.365264892578125,14.655891418457031,0.0,0.001129305477131564,1
11.372422536214193,39.46357345581055,2.259887005649718e-06,0.028232636928289104,25
11.36585205078125,18.771631240844727,4.6139359698681735e-06,0.05646527385657821,50
11.3440185546875,16.174161911010742,6.96798493408663e-06,0.08469791078486731,75
11.28552978515625,19.322921752929688,9.322033898305085e-06,0.11293054771315642,100
11.1571044921875,24.113670349121094,1.167608286252354e-05,0.1411631846414455,125
10.935291748046875,28.30002784729004,1.4030131826741996e-05,0.16939582156973462,150
10.550263671875,26.749069213867188,1.638418079096045e-05,0.1976284584980237,175
10.080748901367187,23.08588409423828,1.873822975517891e-05,0.22586109542631283,200
9.553438720703125,13.41298770904541,2.1092278719397365e-05,0.2540937323546019,225
8.927460327148438,20.036104202270508,2.344632768361582e-05,0.282326369282891,250
8.2755322265625,6.092629432678223,2.5800376647834273e-05,0.3105590062111801,275
7.777706909179687,3.373253345489502,2.815442561205273e-05,0.33879164313946925,300
7.375028076171875,1.1940299272537231,3.050847457627119e-05,0.36702428006775834,325
6.975035400390625,1.4627046585083008,3.2862523540489645e-05,0.3952569169960474,350
6.558502197265625,1.8584022521972656,3.52165725047081e-05,0.4234895539243365,375
6.1327197265625,2.551467180252075,3.7570621468926554e-05,0.45172219085262566,400
5.795820922851562,1.9196012020111084,3.9924670433145014e-05,0.47995482778091475,425
5.4928759765625,2.9035801887512207,4.227871939736347e-05,0.5081874647092038,450
5.245558471679687,1.4060202836990356,4.463276836158192e-05,0.536420101637493,475
4.995488586425782,1.3355121612548828,4.698681732580038e-05,0.564652738565782,500
2.107192277908325,4.7618,1322.176,20.79,0.564652738565782,500
4.789323425292968,1.5285838842391968,4.934086629001883e-05,0.5928853754940712,525
4.560841369628906,1.3407427072525024,4.989194381078161e-05,0.6211180124223602,550
4.361791076660157,1.440287470817566,4.974186577020051e-05,0.6493506493506493,575
4.134288330078125,1.2745484113693237,4.95917877296194e-05,0.6775832862789385,600
3.950361633300781,1.4017462730407715,4.94417096890383e-05,0.7058159232072275,625
3.7912869262695312,1.3857243061065674,4.92916316484572e-05,0.7340485601355167,650
3.63188232421875,1.3701262474060059,4.91415536078761e-05,0.7622811970638057,675
3.4605712890625,1.4567770957946777,4.8991475567294995e-05,0.7905138339920948,700
3.3174172973632814,1.4077770709991455,4.8841397526713894e-05,0.818746470920384,725
3.1775750732421875,1.2789428234100342,4.869131948613279e-05,0.846979107848673,750
3.0468765258789063,1.4308044910430908,4.854124144555169e-05,0.8752117447769622,775
2.9401995849609377,1.2630608081817627,4.839116340497058e-05,0.9034443817052513,800
2.815216064453125,1.3315192461013794,4.824108536438948e-05,0.9316770186335404,825
2.718419494628906,1.210862636566162,4.809100732380839e-05,0.9599096555618295,850
2.6445477294921873,1.2499775886535645,4.794092928322728e-05,0.9881422924901185,875
2.490387420654297,1.2524982690811157,4.779085124264618e-05,1.0158102766798418,900
2.4391024780273436,1.2826048135757446,4.7640773202065075e-05,1.044042913608131,925
2.3577256774902344,1.3305470943450928,4.7490695161483974e-05,1.07227555053642,950
2.3126173400878907,1.7087547779083252,4.734061712090287e-05,1.1005081874647091,975
2.2245445251464844,1.2464568614959717,4.719053908032177e-05,1.1287408243929984,1000
0.8367065191268921,4.7604,1322.58,20.797,1.1287408243929984,1000
2.1734194946289063,1.3489489555358887,4.704046103974067e-05,1.1569734613212874,1025
2.1045672607421877,1.1158441305160522,4.689038299915957e-05,1.1852060982495765,1050
